year,month,tsunami_event_validity,tsunami_cause_code,earthquake_magnitude,country,location_name,latitude,longitude,tsunami_intensity,total_deaths,total_damage_millions,total_houses_destroyed,total_injuries
1961,August,4.0,1.0,7.0,Japan,SE. HOKKAIDO ISLAND,42.9,145.6,-4.0,,,,
1961,November,4.0,1.0,6.9,Japan,SE. HOKKAIDO ISLAND,42.7,145.7,-3.5,,,,
1962,April,4.0,1.0,7.2,Japan,SANRIKU,38.073,142.741,-2.0,,,,
1962,April,4.0,1.0,7.0,Japan,SE. HOKKAIDO ISLAND,42.2,143.9,-3.5,,,,
1962,May,4.0,1.0,7.0,Mexico,S. MEXICO,17.2,-99.6,0.0,4.0,,,
1963,February,4.0,1.0,7.3,"Taiwan, Province of China",E. TAIWAN-RYUKYU ISLANDS,24.4,122.1,-2.0,15.0,,,18.0
1963,September,4.0,1.0,6.2,Turkey,MARMARA SEA,40.698,29.159,3.0,1.0,,7.0,
1963,October,4.0,1.0,7.1,Russian Federation,S. KURIL ISLANDS,44.426,149.272,-2.0,,,,
1963,October,4.0,1.0,8.5,Russian Federation,S. KURIL ISLANDS,44.772,149.798,2.5,,,,
1963,October,4.0,1.0,7.9,Russian Federation,S. KURIL ISLANDS,44.772,150.563,3.0,,,,
1964,May,4.0,1.0,6.9,Japan,NW. HONSHU ISLAND,40.3,139.0,0.0,,,,
1964,June,4.0,1.0,7.5,Japan,NW. HONSHU ISLAND,38.65,139.2,2.0,26.0,80.0,2250.0,450.0
1964,July,4.0,1.0,6.8,Russian Federation,S. KURIL ISLANDS,47.159,153.876,-2.0,,,,
1964,December,4.0,1.0,6.3,Japan,NW. HONSHU ISLAND,40.4,138.9,-3.0,,,,
1965,January,4.0,1.0,7.6,Indonesia,SANANA ISLAND,-2.4,126.1,2.0,71.0,,3000.0,
1965,February,4.0,1.0,8.7,United States,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.29,178.55,2.5,,0.01,,
1965,March,4.0,1.0,7.6,United States,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",50.32,177.93,-1.0,,,,
1965,June,4.0,1.0,7.2,Russian Federation,S. KURIL ISLANDS,44.7,148.7,-3.0,,,,
1965,July,4.0,1.0,6.5,United States,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",53.03,-167.55,-2.0,,,,
1965,August,4.0,1.0,7.0,Vanuatu,VANUATU ISLANDS,-15.8,167.2,2.5,,,,
1965,August,4.0,1.0,7.8,Mexico,MEXICO,16.3,-95.8,,6.0,,,
1966,July,4.0,1.0,5.5,Russian Federation,BLACK SEA,44.75,37.0,1.0,,,,
1966,October,4.0,1.0,8.1,Peru,CENTRAL PERU,-10.748,-78.638,1.5,110.0,35.0,,3000.0
1966,December,4.0,1.0,7.8,Chile,NORTHERN CHILE,-25.5,-70.7,0.5,3.0,0.4,,6.0
1966,December,4.0,1.0,7.8,Solomon Islands,SANTA CRUZ ISLANDS,-11.893,166.445,1.0,,,,
1966,December,4.0,1.0,7.2,Solomon Islands,SANTA CRUZ ISLANDS,-12.334,166.684,0.0,,,,
1967,July,4.0,1.0,6.6,"Venezuela, Bolivarian Republic of",CARACAS,10.559,-67.33,,300.0,140.0,,1536.0
1967,August,4.0,1.0,6.4,Papua New Guinea,BISMARCK SEA,-4.4,152.5,,,,,
1968,January,4.0,1.0,7.3,Russian Federation,S. KURIL ISLANDS,43.586,146.701,-1.0,,,,
1968,February,4.0,1.0,7.2,Greece,"LEMNOS ISLAND, NORTH AEGEAN SEA",39.368,24.957,3.0,20.0,0.6,500.0,18.0
1968,April,4.0,1.0,7.5,Japan,SEIKAIDO,32.3,132.5,1.0,1.0,,,22.0
1968,April,4.0,1.0,4.6,Italy,LIGURIA-COTE D'AZUR,44.08,8.0,2.0,,,,
1968,May,4.0,1.0,8.2,Japan,OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,2.0,52.0,131.0,1218.0,330.0
1968,May,4.0,1.0,7.5,Japan,OFF COAST OF HONSHU ISLAND,41.5,142.7,-0.5,,,,
1968,June,4.0,1.0,7.2,Japan,SANRIKU,39.4,143.1,0.0,,,,
1968,August,4.0,1.0,7.3,Philippines,E. LUZON ISLAND,16.5,122.2,,270.0,8.0,,261.0
1968,August,4.0,1.0,7.6,Indonesia,N. MOLUCCAS ISLANDS,1.4,126.2,1.0,,,,
1968,August,4.0,1.0,7.8,Indonesia,BANDA SEA,0.2,119.8,2.5,200.0,,800.0,58.0
1968,September,4.0,1.0,6.6,Turkey,BLACK SEA,41.8,32.3,,24.0,,2000.0,200.0
1969,February,4.0,1.0,6.9,Indonesia,MAKASSAR STRAIT,-3.1,118.9,2.0,664.0,,1287.0,97.0
1969,February,4.0,1.0,7.8,Portugal,PORTUGAL,36.017,-10.95,,25.0,,,80.0
1969,April,4.0,1.0,6.5,Japan,RYUKYU ISLANDS,32.2,132.1,-3.0,,,,
1969,July,4.0,1.0,7.4,China,BOHAI SEA,38.2,119.4,,10.0,,15190.0,353.0
1969,August,4.0,1.0,8.2,Russian Federation,S. KURIL ISLANDS,43.6,147.9,2.0,,,,
1969,November,4.0,1.0,7.7,Russian Federation,KAMCHATKA,57.7,163.6,3.0,,,,
1969,December,4.0,1.0,7.2,Guadeloupe (French Territory),GRAND BOURG,15.8,-59.7,,,,,
1970,January,4.0,1.0,7.6,Philippines,PHILIPPINE TRENCH,6.8,126.7,,,,,
1970,March,4.0,1.0,6.0,United States,"ANDREANOF ISLANDS, AK",57.5,-153.9,,,,,
1970,May,4.0,1.0,7.9,Peru,N. PERU,-9.2,-78.8,,66794.0,530.0,,50000.0
1970,July,4.0,1.0,7.0,Japan,SEIKAIDO,32.2,131.7,,,,,13.0
1970,December,4.0,1.0,5.1,Russian Federation,BLACK SEA,43.84,39.34,2.0,,,,
1971,May,4.0,1.0,7.1,United States,"ANDREANOF ISLANDS, AK",51.228,-177.173,-3.0,,,,
1971,July,4.0,1.0,7.8,Chile,CENTRAL CHILE,-32.5,-71.2,0.0,83.0,236.4,,447.0
1971,July,4.0,1.0,7.9,Papua New Guinea,SOLOMON SEA,-5.5,153.9,1.0,3.0,,,5.0
1971,July,4.0,1.0,7.9,Papua New Guinea,SOLOMON SEA,-4.9,153.2,1.5,,,,
1971,August,4.0,1.0,7.3,Japan,JAPAN TRENCH,41.4,143.5,-0.5,,,,
1971,September,4.0,1.0,7.1,Russian Federation,TATAR STRAIT,46.5,141.2,1.0,,,,
1971,September,4.0,1.0,5.5,Russian Federation,TATAR STRAIT,46.7,141.4,,,,,
1971,September,4.0,1.0,6.6,Russian Federation,TATAR STRAIT,46.4,141.1,-3.0,,,,
1971,September,4.0,1.0,6.2,Russian Federation,TATAR STRAIT,46.3,140.9,-3.0,,,,
1971,September,4.0,1.0,6.0,Russian Federation,TATAR STRAIT,46.4,141.1,-4.0,,,,
1971,December,4.0,1.0,7.8,Russian Federation,KAMCHATKA,56.0,163.3,,,,,
1972,January,4.0,1.0,7.5,"Taiwan, Province of China",E. TAIWAN,22.5,122.3,-2.0,1.0,,5.0,
1972,February,4.0,1.0,7.4,Japan,EAST OFF HACHIJO ISLAND,33.3,140.8,0.5,,,,
1972,August,4.0,1.0,7.1,Papua New Guinea,SOLOMON SEA,-6.0,152.9,,,,,
1972,December,4.0,1.0,7.4,Japan,CHICHI JIMA,33.3,140.7,-1.0,,,,
1973,January,4.0,1.0,7.5,Mexico,S. MEXICO,18.48,-103.0,,56.0,,,390.0
1973,February,4.0,1.0,7.2,Russian Federation,N. KURIL ISLANDS,50.5,156.6,0.5,,,,
1973,March,4.0,1.0,7.5,Philippines,QUEZON,13.4,122.8,,15.0,0.45,,64.0
1973,June,4.0,1.0,7.7,Japan,HOKKAIDO ISLAND,43.2,145.8,1.0,,5.0,2.0,27.0
1973,June,4.0,1.0,7.1,Russian Federation,S. KURIL ISLANDS,43.3,146.4,,,,,1.0
1973,June,4.0,1.0,6.6,Russian Federation,S. KURIL ISLANDS,43.2,146.6,,,,,
1973,October,4.0,1.0,6.7,Chile,CENTRAL CHILE,-32.5,-71.5,-1.0,,,,
1974,January,4.0,1.0,7.0,Solomon Islands,SOLOMON ISLANDS,-7.5,155.9,1.0,,,,
1974,February,4.0,1.0,7.1,Solomon Islands,SOLOMON ISLANDS,-7.4,155.6,2.0,,,,
1974,May,4.0,1.0,6.7,Japan,TOKAIDO,34.6,138.7,-2.5,30.0,,134.0,137.0
1974,September,4.0,1.0,6.7,Russian Federation,S. KURIL ISLANDS,43.2,146.7,-1.0,,,,
1974,October,4.0,1.0,8.1,Peru,CENTRAL PERU,-12.27,-77.79,1.0,78.0,10.0,,2414.0
1975,May,4.0,1.0,7.8,Atlantic Ocean,AZORES GIBRALTAR FRACTURE ZONE,35.962,-17.576,,,,,
1975,June,4.0,1.0,7.0,Russian Federation,S. KURIL ISLANDS,43.024,147.734,2.0,,,,
1975,July,4.0,1.0,7.9,Papua New Guinea,SOLOMON SEA,-6.59,155.054,1.0,,,,
1975,October,4.0,1.0,7.6,Philippines,PHILIPPINE TRENCH,12.54,125.993,-1.5,1.0,,30.0,
1975,December,4.0,1.0,7.8,Samoa,SAMOA ISLANDS,-16.265,-172.467,,,,,
1976,January,4.0,1.0,8.0,New Zealand,KERMADEC ISLANDS,-28.427,-177.657,,,,,
1976,January,4.0,1.0,7.0,Russian Federation,S. KURIL ISLANDS,44.915,149.123,-2.5,,,,
1976,February,4.0,1.0,7.5,Guatemala,GUATEMALA,15.324,-89.101,,23000.0,2147.0,,76000.0
1976,August,4.0,1.0,8.0,Philippines,MORO GULF,6.292,124.09,2.5,8000.0,134.0,,10000.0
1977,April,4.0,1.0,7.6,Samoa,SAMOA ISLANDS,-16.696,-172.095,-2.0,,,,
1977,April,4.0,1.0,6.8,Solomon Islands,SOLOMON ISLANDS,-9.828,163.323,-1.0,34.0,,,
1977,April,4.0,1.0,7.6,Solomon Islands,SOLOMON ISLANDS,-9.89,160.348,,,,,
1977,April,4.0,1.0,8.1,Solomon Islands,SOLOMON ISLANDS,-9.965,160.731,-1.5,18.0,,,1.0
1977,June,4.0,1.0,7.2,Tonga,TONGA TRENCH,-22.878,-175.9,,1.0,1.2,,5.0
1977,August,4.0,1.0,8.0,Indonesia,SUNDA ISLANDS,-11.085,118.464,3.0,189.0,1.2,,75.0
1978,January,4.0,1.0,6.6,Japan,TOKAIDO,34.809,139.259,,25.0,,85.0,129.0
1978,March,4.0,1.0,6.7,Russian Federation,S. KURIL ISLANDS,44.026,149.002,-2.5,,,,
1978,March,4.0,1.0,6.6,Russian Federation,S. KURIL ISLANDS,44.14,149.029,-3.0,,,,
1978,March,4.0,1.0,6.8,Russian Federation,S. KURIL ISLANDS,44.209,148.971,-1.5,,,,
1978,March,4.0,1.0,7.5,Russian Federation,S. KURIL ISLANDS,44.932,148.439,0.0,,,,
1978,March,4.0,1.0,7.6,Russian Federation,S. KURIL ISLANDS,44.244,148.862,0.0,,,,
1978,June,4.0,1.0,7.7,Japan,SANRIKU,38.19,142.03,0.5,28.0,865.0,,1000.0
1978,August,4.0,1.0,4.4,Spain,CADIZ,36.37,-6.98,1.0,,,,
1979,February,4.0,1.0,6.4,Japan,"IWATE, JAPAN",40.232,143.703,,,,,
1979,March,4.0,1.0,7.6,Mexico,S. MEXICO,17.813,-101.276,,5.0,30.0,200.0,35.0
1979,April,4.0,1.0,6.9,Montenegro,MONTENEGRO,42.096,19.209,1.0,131.0,2700.0,,1001.0
1979,September,4.0,1.0,7.9,Indonesia,IRIAN JAYA,-1.679,136.04,,115.0,,1000.0,
1979,December,4.0,1.0,7.7,Colombia,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,2.5,600.0,8.0,10000.0,20000.0
1980,January,4.0,1.0,6.9,Portugal,AZORES,38.727,-27.75,1.0,69.0,5.0,15000.0,600.0
1980,February,4.0,1.0,7.0,Russian Federation,S. KURIL ISLANDS,43.53,146.753,-2.0,,,,
1980,June,4.0,1.0,6.2,Japan,HONSHU ISLAND,34.808,139.181,,,,,7.0
1980,July,4.0,1.0,7.9,Solomon Islands,SOLOMON ISLANDS,-12.525,165.916,,,,,
1981,January,4.0,1.0,6.9,Japan,E. HONSHU ISLAND,38.64,142.75,,,,,
1981,February,4.0,1.0,6.7,Greece,ATHENS-EASTERN GULF OF CORINTH,38.222,22.934,3.0,22.0,812.0,8000.0,400.0
1981,May,4.0,1.0,7.6,New Zealand,NEW ZEALAND,-48.786,164.357,,,,,
1981,September,4.0,1.0,7.7,Samoa,SAMOA ISLANDS,-14.96,-173.085,-2.0,,,,
1981,October,4.0,1.0,7.3,Mexico,MEXICO,18.084,-102.084,,3.0,,,28.0
1982,March,4.0,1.0,6.9,Japan,HOKKAIDO ISLAND,42.158,142.361,,110.0,1.0,,100.0
1982,July,4.0,1.0,7.2,Japan,"IBARAKI, JAPAN",36.194,141.702,-1.0,,,,
1982,December,4.0,1.0,7.5,Tonga,KERMADEC ISLANDS,-24.133,-175.864,,,,,
1982,December,4.0,1.0,6.4,Japan,S. OF HONSHU ISLAND,33.826,139.434,-1.0,,,,
1983,March,4.0,1.0,6.9,Indonesia,BANDA SEA,-4.056,127.924,1.5,,,,
1983,March,4.0,1.0,7.9,Papua New Guinea,NEW BRITAIN,-4.883,153.581,,,,,
1983,May,4.0,1.0,7.8,Japan,"NOSHIRO, JAPAN",40.462,139.102,2.0,104.0,800.0,3513.0,324.0
1983,June,4.0,1.0,5.9,Japan,"NOSHIRO, JAPAN",40.249,138.948,,,,,
1983,June,4.0,1.0,6.9,Japan,N. HONSHU ISLAND,41.346,139.099,,,,,
1983,August,4.0,1.0,7.1,Russian Federation,"KAMCHATKA BAY, RUSSIA",55.867,161.287,,,,,
1983,August,4.0,1.0,6.6,Philippines,LUZON ISLAND,18.231,120.86,,16.0,,,47.0
1983,October,4.0,1.0,7.7,Chile,NORTHERN CHILE,-26.535,-70.563,0.2,5.0,1.0,40.0,12.0
1983,November,4.0,1.0,7.7,Uk Territory,CHAGOS ARCHIPELAGO REGION,-6.852,72.11,,,,,
1984,February,4.0,1.0,5.4,Greece,"CORINTHOS GULF, GREECE",38.396,22.094,3.0,,,,
1984,March,4.0,1.0,7.2,Russian Federation,S. KURIL ISLANDS,44.117,148.192,-2.0,,,,
1984,June,4.0,1.0,5.5,Japan,"TORI SHIMA, OKINAWA",31.448,140.036,,,,,
1984,August,4.0,1.0,7.0,Japan,"KYUSHU, JAPAN",32.386,131.945,,,,,9.0
1984,September,4.0,1.0,6.9,Japan,HONSHU ISLAND,34.006,141.5,,,,,
1984,December,4.0,1.0,6.8,Russian Federation,KAMCHATKA,56.194,163.46,,,,,
1985,March,4.0,1.0,8.0,Chile,CENTRAL CHILE,-33.132,-71.708,,180.0,1500.0,,2575.0
1985,March,4.0,1.0,6.4,Guadeloupe (French Territory),GUADELOUPE,17.013,-62.448,,,,,6.0
1985,September,4.0,1.0,8.0,Mexico,MEXICO,18.19,-102.533,,9500.0,4000.0,,30000.0
1985,September,4.0,1.0,7.6,Mexico,MEXICO,17.802,-101.647,,,,,
1986,May,4.0,1.0,8.0,United States,"ANDREANOF ISLANDS, AK",51.52,-174.776,,,,,
1986,October,4.0,1.0,7.8,New Zealand,KERMADEC ISLANDS,-28.117,-176.367,,,,,
1986,November,4.0,1.0,7.8,"Taiwan, Province of China",TAIWAN,23.901,121.574,,15.0,,,50.0
1987,February,4.0,1.0,6.7,Japan,E. HONSHU ISLAND,36.988,141.689,,,,,
1987,February,4.0,1.0,7.4,Papua New Guinea,SOLOMON SEA,-6.088,147.689,,3.0,2.625,,
1987,March,4.0,1.0,7.6,Chile,NORTHERN CHILE,-24.388,-70.161,,1.0,,,
1987,March,4.0,1.0,6.7,Japan,KYUSHU ISLAND,32.034,131.837,,2.0,,,5.0
1987,March,4.0,1.0,5.1,Japan,HONSHU ISLAND,37.447,137.865,,,,,
1987,October,4.0,1.0,7.3,Tonga,TONGA ISLANDS,-17.94,-172.225,,,,,
1987,October,4.0,1.0,7.0,Papua New Guinea,SOLOMON SEA,-7.288,154.371,,,,,
1987,October,4.0,1.0,7.4,Papua New Guinea,SOLOMON SEA,-6.266,149.06,,,,,
1987,November,4.0,1.0,7.2,United States,"GULF OF ALASKA, AK",58.586,-143.27,,,,,
1987,November,4.0,1.0,7.9,United States,"GULF OF ALASKA, AK",58.679,-142.786,,,,,
1988,February,4.0,1.0,7.2,Chile,NORTHERN CHILE,-24.753,-70.433,,,,,
1988,March,4.0,1.0,7.8,United States,"GULF OF ALASKA, AK",57.262,-142.747,,,0.005,,
1988,June,4.0,1.0,5.4,Philippines,NORTH OF LUZON ISLAND,18.606,121.013,,,,,
1988,July,4.0,1.0,6.8,Papua New Guinea,PAPUA NEW GUINEA,-5.964,148.78,,,,,
1988,August,4.0,1.0,7.6,Solomon Islands,SOLOMON ISLANDS,-10.258,160.896,,1.0,,100.0,
1989,May,4.0,1.0,8.1,Australia,MACQUARIE ISLAND,-52.341,160.568,,,,,
1989,September,4.0,1.0,7.1,United States,"SEMIDI ISLANDS, AK",55.543,-156.835,,,,,
1989,October,4.0,1.0,6.9,United States,N. CALIFORNIA,37.036,-121.883,,62.0,5600.0,,3757.0
1989,October,4.0,1.0,6.5,Japan,N. HONSHU ISLAND,39.571,143.333,,,,,
1990,February,4.0,1.0,6.6,Philippines,PHILIPPINES,9.755,124.694,,,0.9,,300.0
1990,February,4.0,1.0,6.4,Japan,JAPAN,34.706,139.252,,,,,
1990,March,4.0,1.0,7.0,Costa Rica,COSTA RICA,9.919,-84.808,,,,8.0,15.0
1990,April,4.0,1.0,7.5,Usa Territory,"MARIANA TRENCH, N. MARIANA ISLANDS",15.125,147.596,,,,,
1990,September,4.0,1.0,6.5,Japan,"W. OF BONIN ISLANDS, IZU IS., JAPAN",33.267,138.643,,,,,
1990,December,4.0,1.0,5.3,Italy,EASTERN SICILY,37.3,15.438,,19.0,500.0,,200.0
1990,December,4.0,1.0,6.3,"Taiwan, Province of China",TAIWAN,23.722,121.627,,,,,
1991,February,4.0,1.0,6.9,Solomon Islands,SOLOMON ISLANDS,-9.929,159.139,,,,,
1991,February,4.0,1.0,5.7,Russian Federation,N. KURIL ISLANDS,48.268,154.328,,,,,
1991,February,4.0,1.0,6.7,United States,"BERING SEA, AK",58.427,-175.45,,,,,
1991,April,4.0,1.0,7.6,Costa Rica,"LIMON, PANDORA",9.685,-83.073,,90.0,510.0,,895.0
1991,October,4.0,1.0,7.2,Solomon Islands,SOLOMON ISLANDS,-9.094,158.442,-2.5,,,,
1992,January,4.0,1.0,3.7,China,SOUTH CHINA SEA,18.0,108.0,,,,,
1992,April,4.0,1.0,7.2,United States,"CAPE MENDOCINO, N. CALIFORNIA",40.368,-124.316,0.5,,66.0,,98.0
1992,May,4.0,1.0,7.3,Philippines,PHILIPPINES,7.191,126.762,,,,12.0,
1992,May,4.0,1.0,7.1,Solomon Islands,SANTA CRUZ ISLANDS,-11.122,165.239,,,,,
1992,July,4.0,1.0,7.0,Japan,HONSHU ISLAND,39.419,143.33,-0.5,,,,
1992,September,4.0,1.0,7.7,Nicaragua,NICARAGUA,11.727,-87.386,2.8,170.0,30.0,1500.0,489.0
1993,February,4.0,1.0,6.3,Japan,HONSHU ISLAND,37.634,137.245,-0.5,,,,
1993,June,4.0,1.0,7.5,Russian Federation,KAMCHATKA,51.218,157.829,-0.5,,,,
1993,July,4.0,1.0,7.7,Japan,SEA OF JAPAN,42.851,139.197,3.1,231.0,1207.0,2374.0,233.0
1993,August,4.0,1.0,6.3,Japan,JAPAN,41.985,139.839,,,,,
1993,August,4.0,1.0,7.8,Usa Territory,"GUAM, MARIANA ISLANDS",12.982,144.801,,,250.0,,48.0
1993,November,4.0,1.0,7.0,Russian Federation,KAMCHATKA,51.934,158.647,-3.0,,,,
1994,January,4.0,1.0,7.0,Indonesia,HALMAHERA,1.015,127.733,1.5,9.0,,,300.0
1994,April,4.0,1.0,6.4,Japan,HOKKAIDO ISLAND,40.608,143.683,-1.5,,,,
1994,June,4.0,1.0,7.8,Indonesia,SOUTH OF JAVA,-10.477,112.835,2.5,238.0,2.2,1500.0,423.0
1994,June,4.0,1.0,6.6,Indonesia,SOUTH OF JAVA,-10.362,112.892,,,,,
1994,June,4.0,1.0,6.1,Indonesia,SOUTH OF JAVA,-10.341,113.369,,,,,
1994,September,4.0,1.0,7.0,United States,N. CALIFORNIA,40.402,-125.68,-3.0,,,,
1994,September,4.0,1.0,6.7,"Taiwan, Province of China",TAIWAN STRAIT,22.528,118.711,,1.0,,,400.0
1994,October,4.0,1.0,8.3,Russian Federation,S. KURIL ISLANDS,43.773,147.321,2.6,11.0,,,382.0
1994,October,4.0,1.0,6.8,Indonesia,HALMAHERA,-1.258,127.98,1.5,1.0,,,52.0
1994,October,4.0,1.0,7.3,Russian Federation,S. KURIL ISLANDS,43.905,147.916,-3.0,,,,
1994,November,4.0,1.0,7.1,Philippines,PHILIPPINE ISLANDS,13.525,121.067,2.1,81.0,3.7,797.0,225.0
1994,December,4.0,1.0,7.8,Japan,"TOHUKU, JAPAN",40.525,143.419,,3.0,170.4,,200.0
1995,January,4.0,1.0,6.9,Japan,"KOBE, JAPAN",34.583,135.018,-2.0,5502.0,100000.0,200000.0,36896.0
1995,April,4.0,1.0,7.4,Samoa,SAMOA ISLANDS,-15.199,-173.529,-1.5,,,,
1995,April,4.0,1.0,7.2,Philippines,SAMAR ISLAND,12.059,125.58,-2.0,,,,
1995,April,4.0,1.0,6.8,Philippines,SAMAR ISLAND,12.047,125.92,-2.0,,,,
1995,May,4.0,1.0,7.7,New Caledonia,LOYALTY ISLANDS,-23.008,169.9,-2.0,,,,
1995,May,4.0,1.0,7.1,Russian Federation,SAKHALIN ISLAND,52.629,142.827,-2.0,1989.0,300.0,,750.0
1995,July,4.0,1.0,8.0,Chile,NORTHERN CHILE,-23.34,-70.294,1.5,3.0,1.791,115.0,58.0
1995,August,4.0,1.0,7.7,Papua New Guinea,SOLOMON SEA,-5.799,154.178,-1.5,,,,
1995,October,4.0,1.0,8.0,Mexico,S. MEXICO,19.055,-104.205,2.5,50.0,,,200.0
1995,October,4.0,1.0,7.1,Japan,RYUKYU ISLANDS,27.929,130.175,1.5,,,,1.0
1995,November,4.0,1.0,6.7,Chile,NORTHERN CHILE,-28.906,-71.417,-3.0,,,,
1995,November,4.0,1.0,7.2,Egypt,GULF OF ELAT-AQABA,28.826,34.799,,11.0,,,47.0
1995,December,4.0,1.0,7.9,Russian Federation,S. KURIL ISLANDS,44.663,149.3,0.5,,,,
1996,January,4.0,1.0,7.9,Indonesia,SULAWESI,0.729,119.931,1.8,9.0,1.2,400.0,63.0
1996,February,4.0,1.0,8.2,Indonesia,IRIAN JAYA,-0.891,136.952,1.8,164.0,4.2,5043.0,432.0
1996,February,4.0,1.0,7.5,Peru,N. PERU,-9.593,-79.587,1.9,12.0,,15.0,57.0
1996,February,4.0,1.0,7.1,Mexico,MEXICO,15.978,-98.07,-3.0,,,,
1996,June,4.0,1.0,7.9,United States,"ANDREANOF ISLANDS, AK",51.564,-177.632,0.5,,,,
1996,June,4.0,1.0,7.3,United States,"ANDREANOF ISLANDS, AK",51.478,-176.847,-1.5,,,,
1996,September,4.0,1.0,5.7,Japan,HONSHU ISLAND,31.555,139.931,-2.0,,,,
1996,September,4.0,1.0,6.9,Chile,EASTER ISLAND REGION,-22.118,-113.436,-2.5,,,,
1996,September,4.0,1.0,6.8,"Taiwan, Province of China",TAIWAN REGION,21.898,121.498,,,,,
1996,October,4.0,1.0,6.6,Japan,KYUSHU ISLAND,30.568,131.093,-2.5,,,,
